,Open Bid_x,Open Bid_y,weekday_y,Long Swap USDPLN,Short Swap USDPLN
2005-04-07,2.69,5.95,3,-2.5669978922011443e-05,2.316036352975667e-05
2005-04-08,2.7,5.75,4,-2.5150150150150148e-05,2.1564327485380118e-05
2005-04-09,2.76,5.75,5,-2.4305555555555558e-05,2.105034722222222e-05
2005-04-10,2.76,5.75,6,-2.4305555555555558e-05,2.105034722222222e-05
2005-04-11,2.77,5.8,0,-2.3798997936928973e-05,2.1284271284271284e-05
2005-04-12,2.74,5.8,1,-2.4584076054664283e-05,2.1412037037037033e-05
2005-04-13,2.72,5.61,2,-7.347670250896056e-05,6.0863874345549755e-05
2005-04-14,2.73,5.81,3,-2.4426571343461423e-05,2.1612996808819263e-05
2005-04-15,2.8,5.75,4,-2.339181286549708e-05,2.117783579924572e-05
2005-04-16,2.77,5.8,5,-2.5272620100206312e-05,2.1284271284271284e-05
2005-04-17,2.77,5.8,6,-2.5272620100206312e-05,2.1284271284271284e-05
2005-04-18,2.73,5.75,0,-2.4947870122132854e-05,2.117783579924572e-05
2005-04-19,2.72,6.05,1,-2.635902031063321e-05,2.3487492728330424e-05
2005-04-20,2.76,5.91,2,-7.646276595744682e-05,6.662326388888889e-05
2005-04-21,2.8,6.06,3,-2.529239766081871e-05,2.2507122507122505e-05
2005-04-22,2.84,5.82,4,-2.314814814814815e-05,2.1174275050244046e-05
2005-04-23,2.86,5.77,5,-2.2524467472654004e-05,2.03182722364308e-05
2005-04-24,2.86,5.77,6,-2.2524467472654004e-05,2.0441595441595437e-05
2005-04-25,2.9,5.75,0,-2.1723646723646727e-05,1.9932145886344354e-05
2005-04-26,2.9,5.75,1,-2.136752136752137e-05,1.9097222222222222e-05
2005-04-27,2.95,5.6,2,-6.223628691983122e-05,5.4857621440536e-05
2005-04-28,2.99,5.35,3,-1.8170426065162904e-05,1.610005527915976e-05
2005-04-29,3.01,5.4,4,-1.787198669991688e-05,1.622662266226623e-05
2005-04-30,3.01,5.3,5,-1.8633970628983098e-05,1.553905390539054e-05
2005-05-01,3.01,5.3,6,-1.8633970628983098e-05,1.553905390539054e-05
2005-05-02,3.03,5.4,0,-1.771436448855804e-05,1.6009852216748765e-05
2005-05-03,2.98,5.23,1,-1.8495254048017867e-05,1.4637799564270156e-05
2005-05-04,3.01,5.39,2,-5.361596009975064e-05,4.7502047502047496e-05
2005-05-05,2.97,5.35,3,-1.805205709487825e-05,1.5561015561015556e-05
2005-05-06,2.94,5.38,4,-1.8612521150592218e-05,1.608910891089109e-05
2005-05-07,2.99,5.45,5,-1.991088833194096e-05,1.624351624351624e-05
2005-05-08,2.99,5.45,6,-1.991088833194096e-05,1.624351624351624e-05
2005-05-09,3.02,5.4,0,-1.7827529021558873e-05,1.579520697167756e-05
2005-05-10,2.98,5.4,1,-1.793690675600223e-05,1.579520697167756e-05
2005-05-11,2.96,5.44,2,-5.6397306397306394e-05,4.885057471264367e-05
2005-05-12,2.98,5.44,3,-1.8565047459519817e-05,1.606753812636166e-05
2005-05-13,2.95,5.43,4,-1.884669479606188e-05,1.676364643945691e-05
2005-05-14,2.98,5.25,5,-1.8634840871021777e-05,1.4773965141612196e-05
2005-05-15,2.98,5.25,6,-1.8634840871021777e-05,1.4773965141612196e-05
2005-05-16,2.93,5.4,0,-1.8871925360474976e-05,1.6555832640620673e-05
2005-05-17,2.95,5.45,1,-1.863572433192686e-05,1.690218897201441e-05
2005-05-18,3.0,5.4,2,-5.416666666666665e-05,4.8029556650246294e-05
2005-05-19,2.98,5.4,3,-1.8285873813512e-05,1.579520697167756e-05
2005-05-20,2.98,5.4,4,-1.793690675600223e-05,1.579520697167756e-05
2005-05-21,2.96,5.3,5,-1.816778900112233e-05,1.5325670498084287e-05
2005-05-22,2.96,5.3,6,-1.816778900112233e-05,1.5325670498084287e-05
2005-05-23,2.96,5.25,0,-1.816778900112233e-05,1.4983579638752046e-05
2005-05-24,2.98,5.3,1,-1.793690675600223e-05,1.5114379084967316e-05
2005-05-25,2.95,5.3,2,-5.2742616033755275e-05,4.597701149425286e-05
2005-05-26,2.99,5.35,3,-1.7822333611807294e-05,1.534908992121706e-05
2005-05-27,2.98,5.35,4,-1.793690675600223e-05,1.5454793028322434e-05
2005-05-28,3.01,5.48,5,-1.814907176503187e-05,1.6232002173322472e-05
2005-05-29,3.01,5.48,6,-1.814907176503187e-05,1.6232002173322472e-05
2005-05-30,2.95,5.36,0,-1.835443037974683e-05,1.6060104769782197e-05
2005-05-31,3.01,5.35,1,-1.7248545303408146e-05,1.534908992121706e-05
2005-06-01,3.0,5.38,2,-5.3750000000000005e-05,4.76190476190476e-05
2005-06-02,3.01,5.3,3,-1.7248545303408146e-05,1.5219765219765214e-05
2005-06-03,2.97,5.36,4,-1.8122026308424288e-05,1.5522875816993464e-05
2005-06-04,3.0,5.43,5,-1.8263888888888887e-05,1.5999455337690628e-05
2005-06-05,2.97,5.43,6,-1.861181080324657e-05,1.6107016107016105e-05
2005-06-06,3.01,5.42,0,-1.8287614297589362e-05,1.6038766038766035e-05
2005-06-07,2.98,5.4,1,-1.8006700167504182e-05,1.579520697167756e-05
2005-06-08,2.98,5.41,2,-5.3810720268006684e-05,4.79115479115479e-05
2005-06-09,2.98,5.3,3,-1.7587939698492464e-05,1.5114379084967316e-05
2005-06-10,2.95,5.36,4,-1.835443037974683e-05,1.5843621399176957e-05
2005-06-11,2.97,5.24,5,-1.8541841589700534e-05,1.4810264810264812e-05
2005-06-12,2.97,5.24,6,-1.8541841589700534e-05,1.4810264810264812e-05
2005-06-13,2.95,5.4,0,-1.863572433192686e-05,1.611796982167353e-05
2005-06-14,2.99,5.33,1,-1.7683096630465053e-05,1.5213257267047e-05
2005-06-15,3.0,5.33,2,-5.2708333333333345e-05,4.5325203252032545e-05
2005-06-16,3.0,5.35,3,-1.770833333333333e-05,1.524390243902439e-05
2005-06-17,3.01,5.35,4,-1.7594901634801886e-05,1.513922681805894e-05
2005-06-18,3.02,5.2,5,-1.7689331122166947e-05,1.4227642276422769e-05
2005-06-19,3.02,5.2,6,-1.7689331122166947e-05,1.4227642276422769e-05
2005-06-20,3.03,5.3,0,-1.7025089605734776e-05,1.4595103578154424e-05
2005-06-21,3.05,5.25,1,-1.6460905349794243e-05,1.405622489959839e-05
2005-06-22,3.12,5.22,2,-4.65210355987055e-05,3.949447077409161e-05
2005-06-23,3.2,5.25,3,-1.4880952380952378e-05,1.2596899224806205e-05
2005-06-24,3.22,5.25,4,-1.4415481832543438e-05,1.2409979423868308e-05
2005-06-25,3.25,5.0,5,-1.4052287581699345e-05,1.1163032191069578e-05
2005-06-26,3.25,5.0,6,-1.4052287581699345e-05,1.1163032191069578e-05
2005-06-27,3.27,5.0,0,-1.2555295342180595e-05,1.07133692584039e-05
2005-06-28,3.21,5.0,1,-1.3130113486408025e-05,1.0891982469708683e-05
2005-06-29,3.26,4.9,2,-3.7558685446009395e-05,3.0478395061728396e-05
2005-06-30,3.22,4.85,3,-1.2374934175882035e-05,9.83796296296296e-06
2005-07-01,3.3,4.87,4,-1.1434108527131788e-05,9.280303030303027e-06
2005-07-02,3.25,4.79,5,-1.2549019607843135e-05,9.36617911213754e-06
2005-07-03,3.26,4.79,6,-1.2454355764214923e-05,9.625322997416025e-06
2005-07-04,3.24,4.81,0,-1.1857966457023058e-05,9.408602150537632e-06
2005-07-05,3.22,4.81,1,-1.2045813586097939e-05,9.494482935591476e-06
2005-07-06,3.23,4.89,2,-3.684003152088258e-05,3.134735202492213e-05
2005-07-07,3.22,4.86,3,-1.2111637704054754e-05,9.902263374485594e-06
2005-07-08,3.2,4.86,4,-1.2301587301587296e-05,9.989688063934002e-06
2005-07-09,3.26,4.85,5,-1.167188315075639e-05,9.664618535586274e-06
2005-07-10,3.22,4.85,6,-1.2045813586097939e-05,9.83796296296296e-06
2005-07-11,3.24,4.86,0,-1.1857966457023058e-05,9.728622631848439e-06
2005-07-12,3.25,4.85,1,-1.1764705882352942e-05,9.751090582499357e-06
2005-07-13,3.22,4.86,2,-3.6532385466034744e-05,2.9706790123456784e-05
2005-07-14,3.21,4.91,3,-1.2470308788598574e-05,1.0311936065996391e-05
2005-07-15,3.26,4.85,4,-1.167188315075639e-05,9.83796296296296e-06
2005-07-16,3.23,4.85,5,-1.313370107696349e-05,9.751090582499357e-06
2005-07-17,3.26,4.85,6,-1.2845592070944187e-05,1.0012919896640825e-05
2005-07-18,3.2,4.86,0,-1.2301587301587296e-05,1.0522875816993465e-05
2005-07-19,3.22,4.8,1,-1.2045813586097939e-05,9.516460905349794e-06
2005-07-20,3.21,4.9,2,-3.642121931908154e-05,3.0742459396751744e-05
2005-07-21,3.22,4.86,3,-1.2111637704054754e-05,9.902263374485594e-06
2005-07-22,3.27,4.85,4,-1.1579495186052563e-05,9.751090582499357e-06
2005-07-23,3.24,4.69,5,-1.1988993710691823e-05,8.640552995391707e-06
2005-07-24,3.24,4.69,6,-1.1988993710691823e-05,8.640552995391707e-06
2005-07-25,3.28,4.74,0,-1.0773624091381106e-05,8.960573476702514e-06
2005-07-26,3.23,4.74,1,-1.1229314420803784e-05,9.045419553502694e-06
2005-07-27,3.26,4.69,2,-3.384194053208139e-05,2.6682134570765663e-05
2005-07-28,3.24,4.56,3,-9.958071278825993e-06,7.808499743983616e-06
2005-07-29,3.31,4.57,4,-9.409641660221697e-06,7.627765064836003e-06
2005-07-30,3.32,4.6,5,-9.516460905349794e-06,7.900101936799187e-06
2005-07-31,3.32,4.6,6,-9.516460905349794e-06,7.900101936799187e-06
2005-08-01,3.32,4.61,0,-9.516460905349794e-06,7.478632478632482e-06
2005-08-02,3.37,4.62,1,-9.216882786676834e-06,7.702020202020197e-06
2005-08-03,3.38,4.61,2,-2.7207001522070006e-05,2.101934523809523e-05
2005-08-04,3.44,4.61,3,-8.508508508508514e-06,6.546744982868335e-06
2005-08-05,3.45,4.65,4,-8.302122347066171e-06,6.86779494726515e-06
2005-08-06,3.48,4.63,5,-8.370535714285711e-06,6.368267831149929e-06
2005-08-07,3.45,4.63,6,-8.614232209737825e-06,6.593406593406594e-06
2005-08-08,3.46,4.62,0,-8.470353761833582e-06,6.532356532356534e-06
2005-08-09,3.45,4.63,1,-8.614232209737825e-06,6.593406593406594e-06
2005-08-10,3.47,4.65,2,-2.5727069351230406e-05,1.9693654266958424e-05
2005-08-11,3.45,4.65,3,-8.614232209737825e-06,6.7155067155067165e-06
2005-08-12,3.48,4.65,4,-8.370535714285711e-06,6.791483113069016e-06
2005-08-13,3.49,4.63,5,-8.290027220984905e-06,6.593406593406594e-06
2005-08-14,3.45,4.63,6,-8.614232209737825e-06,6.593406593406594e-06
2005-08-15,3.43,4.63,0,-8.778530223225489e-06,6.745155751778272e-06
2005-08-16,3.42,4.65,1,-8.798391151332327e-06,6.94444444444445e-06
2005-08-17,3.45,4.7,2,-2.715355805243447e-05,2.106227106227106e-05
2005-08-18,3.45,4.7,3,-9.051186017478156e-06,7.020757020757021e-06
2005-08-19,3.49,4.66,4,-8.413758970551843e-06,6.776556776556778e-06
2005-08-20,3.48,4.56,5,-9.1765873015873e-06,6.091617933723191e-06
2005-08-21,3.47,4.56,6,-9.25925925925925e-06,6.017505470459514e-06
2005-08-22,3.45,4.62,0,-8.551810237203497e-06,6.532356532356534e-06
2005-08-23,3.47,4.63,1,-8.26497638578175e-06,6.442985655239479e-06
2005-08-24,3.51,4.61,2,-2.29120473022912e-05,1.8964259664478474e-05
2005-08-25,3.46,4.6,3,-8.034379671150974e-06,6.33528265107212e-06
2005-08-26,3.52,4.6,4,-7.620452310717797e-06,6.1863173216885e-06
