,Open Bid_x,Open Bid_y,weekday_y,Short Swap USDDKK,Long Swap USDDKK
2005-06-12,2.97,2.09,6,-6.688506688506691e-06,5.1077525888609006e-06
2005-06-13,2.95,2.07,0,-6.721536351165982e-06,5.133614627285513e-06
2005-06-14,2.99,1.985,1,-7.50475414289595e-06,5.256196045669733e-06
2005-06-15,3.0,1.985,2,-2.2662601626016252e-05,1.59375e-05
2005-06-16,3.0,2.1,3,-6.775067750677503e-06,5.208333333333333e-06
2005-06-17,3.01,2.09,4,-6.893755068937549e-06,5.333887503463561e-06
2005-06-18,3.02,2.09,5,-6.842818428184282e-06,5.735212824765061e-06
2005-06-19,3.02,2.09,6,-6.842818428184282e-06,5.735212824765061e-06
2005-06-20,3.03,1.985,0,-7.701103040086088e-06,5.479735318444993e-06
2005-06-21,3.05,2.05,1,-7.3627844712182085e-06,5.829903978052124e-06
2005-06-22,3.12,2.07,2,-2.270932069510269e-05,1.8203883495145632e-05
2005-06-23,3.2,2.09,3,-7.816537467700258e-06,6.349206349206348e-06
2005-06-24,3.22,2.07,4,-8.037551440329222e-06,6.5824117956819415e-06
2005-06-25,3.25,2.05,5,-7.982866043613704e-06,6.209150326797388e-06
2005-06-26,3.25,2.05,6,-7.982866043613704e-06,6.209150326797388e-06
2005-06-27,3.27,2.07,0,-8.083140877598151e-06,6.830601092896171e-06
2005-06-28,3.21,2.07,1,-7.991750451147207e-06,6.532066508313536e-06
2005-06-29,3.26,2.09,2,-2.3726851851851857e-05,1.9953051643192483e-05
2005-06-30,3.22,1.98,3,-8.616255144032922e-06,6.5165876777251225e-06
2005-07-01,3.3,2.08,4,-8.333333333333335e-06,6.912144702842377e-06
2005-07-02,3.25,1.98,5,-8.66050808314088e-06,6.666666666666667e-06
2005-07-03,3.26,1.98,6,-8.527131782945735e-06,6.716223265519039e-06
2005-07-04,3.24,1.98,0,-8.704557091653864e-06,6.616876310272539e-06
2005-07-05,3.22,2.09,1,-7.954837054144216e-06,6.450763559768301e-06
2005-07-06,3.23,1.98,2,-2.531152647975077e-05,1.9700551615445244e-05
2005-07-07,3.22,2.08,3,-7.973251028806586e-06,6.5165876777251225e-06
2005-07-08,3.2,2.08,4,-7.927300850734728e-06,6.415343915343918e-06
2005-07-09,3.26,1.98,5,-8.704557091653864e-06,6.716223265519039e-06
2005-07-10,3.22,1.98,6,-8.616255144032922e-06,6.5165876777251225e-06
2005-07-11,3.24,1.98,0,-8.704557091653864e-06,6.616876310272539e-06
2005-07-12,3.25,2.07,1,-8.083140877598151e-06,6.732026143790848e-06
2005-07-13,3.22,1.98,2,-2.5848765432098767e-05,1.9549763033175366e-05
2005-07-14,3.21,2.08,3,-7.927300850734728e-06,6.466086038532594e-06
2005-07-15,3.26,2.07,4,-8.037551440329222e-06,6.781429316640584e-06
2005-07-16,3.23,2.08,5,-8.018988965871183e-06,6.566850538481748e-06
2005-07-17,3.26,2.08,6,-7.881136950904391e-06,6.716223265519039e-06
2005-07-18,3.2,2.08,0,-7.647058823529411e-06,6.415343915343918e-06
2005-07-19,3.22,2.09,1,-7.908950617283952e-06,6.450763559768301e-06
